dyad;participant;eat;start.time;end.time;duration;raw.text;collaborative.processes;collaborative.categories;give.explanation;check.comprehension;give.task.information;outside.activity;disagree;show.hostility;show.active.listening;show.solidarity;elicit.partner.information;give.self.information;elicit.proposition;elicit.opinion;incorporate;give.recall;elicit.recall;tool.discourse;coordinate.teamwork;accept;give.opinion.against;give.proposition;elicit.task.information;manage.task;show.reflection;agree;use.social.convention;relax.atmosphere;check.reception;give.opinion.for;shared.emotion;unix.time.video;excel.time.video;human.time.video;human.time.emotion;;;;;
D02;D02P02;Oui;57,695;59,155;1,46;(rire) oui c'est tout frais!;give.opinion.for;Transactivity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1340111998;41079.55553;13:19:58;;;;;;
D02;D02P01;Oui;59,215;59,695;0,48;Voilà!;accept;Transactivity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;1340111999;41079.55555;13:19:59;;;;;;
D02;D02P01;Oui;60,005;65,135;5,13;Genre, style, euh (...) peace and love ou euh ::;give.proposition;Transactivity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;1340112000;41079.55556;13:20:00;;;;;;
D02;D02P01;Oui;65,35;67,66;2,31;Be cool ou des trucs qui commençent comme ça?;give.proposition;Transactivity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;1340112005;41079.55562;13:20:05;;;;;;
D02;D02P01;Oui;67,855;69,265;1,41;c'est assez la mode j'ai l'impression /;give.task.information;Information;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1340112008;41079.55565;13:20:08;;;;;;
D02;D02P02;Oui;67,715;68,255;0,54;hm hm;show.active.listening;Interaction management;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1340112008;41079.55564;13:20:08;;;;;;
D02;D02P02;Oui;69,795;72,355;2,56;ouais c'est vrai que c'est assez la période là les peace and love;give.task.information;Information;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1340112010;41079.55567;13:20:10;;;;;;
D02;D02P01;Oui;72,84;73,575;0,735;Ouais, voilà! Haha;agree;Interaction management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1340112013;41079.5557;13:20:13;;;;;;
D02;D02P01;Oui;73,575;75,775;2,2;Jpensais à un truc qui reprend un peu cette idée, euh;give.proposition;Transactivity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;1340112014;41079.55571;13:20:14;;;;;;
D02;D02P02;Oui;73,585;74,145;0,56;(rire);other;Other;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1340112014;41079.55571;13:20:14;;;;;;
